feature,mean,std
delivery_days_real,0.044179167365786004,0.00727919724937665
n_items,0.03791915945159287,0.0027173778835356105
delivery_delay_days,0.02996385269902105,0.006886760998309472
first_product_category,0.007483386013797416,0.002815392275287883
customer_state,0.003413389776918588,0.003392927447646292
n_distinct_sellers,0.00324053958114906,0.0004737039589437775
total_freight,0.003027257654508564,0.0020194846107959635
payment_installments_max,0.0023926704242919206,0.0015007830308405089
payment_total,0.0021561114591890224,0.0014601741331724345
main_payment_type,0.0007125410621505734,0.0005253592855100118
is_late,0.00039845258612741796,0.0003880103773233352
is_weekend,-0.0001294785264471382,0.0005196083455336251
total_value,-0.001063984941695878,0.001275328128948308
purchase_dow,-0.0017571133174726777,0.0009735231438188297
